id	ALPHA_J2000	DELTA_J2000	FLUX_RADIUS	CLASS_STAR	fitclass	Z_B	Z_B_MIN	Z_B_MAX	T_B	star_flag	MAG_u	MAG_g	MAG_r	MAG_i	MAG_y	MAG_z
W1m4p1_128264	30.31900929	-5.899947406	4.0017	0.0204206	0	0.72	0.494	0.946	3.182	0	23.9344	23.4293	22.9	22.0798	-99.0	21.9418
W1m4p1_128297	30.97691116	-5.899503221	5.01435	0.00957518	0	0.76	0.529	0.991	1.636	0	25.2237	24.2695	23.2863	22.2307	-99.0	21.747
W1m4p1_128308	30.51801197	-5.898855126	2.77403	0.0299237	0	1.4	0.78	1.96	3.727	0	23.0662	22.8554	22.7539	22.464	-99.0	22.1827
W1m4p1_128388	30.313418	-5.899007853	4.32644	0.0237788	0	0.15	0.0	0.301	3.636	0	23.0185	22.2327	21.9402	21.6888	-99.0	21.6795
W1m4p1_128421	30.97790788	-5.898323305	3.82355	0.0182941	0	0.71	0.485	0.95	4.273	0	23.519	23.292	22.9559	22.3303	-99.0	22.2925
W1m4p1_128429	30.37617094	-5.898281125	2.77029	0.185381	0	0.87	0.624	1.116	2.818	0	23.9052	23.5683	22.9923	22.049	-99.0	21.7428
W1m4p1_128434	31.04267657	-5.898022037	4.19547	0.0155803	0	0.39	0.207	0.61	3.0	0	24.1559	23.5324	22.699	22.2839	-99.0	22.163
W1m4p1_128435	30.795916	-5.899066358	4.2747	0.0259054	0	0.67	0.36	0.889	3.545	0	23.0238	22.5988	22.0967	21.5432	-99.0	21.3873
W1m4p1_128443	31.13105242	-5.898252434	3.61541	0.0268498	0	0.82	0.581	1.059	2.091	0	24.3751	23.6856	22.9428	21.8942	-99.0	21.5221
W1m4p1_128459	30.70955875	-5.898315652	3.22336	0.0271496	0	0.83	0.59	1.31	3.364	0	23.4279	23.1509	22.7377	21.9517	-99.0	21.6987
W1m4p1_128497	30.35074914	-5.899487742	4.99407	0.0115995	0	0.86	0.616	1.104	2.273	0	24.2709	23.8822	23.155	22.0839	-99.0	21.7861
W1m4p1_128555	30.2240332	-5.897546518	4.38536	0.00967072	0	0.81	0.572	1.6	3.182	0	24.0862	23.5172	23.2244	22.3771	-99.0	22.0699
W1m4p1_128597	30.35890954	-5.897642881	3.94825	0.0284413	0	0.2	0.01	0.358	1.909	0	23.4982	22.3044	21.6286	21.2385	-99.0	21.0529
W1m4p1_128602	30.43400352	-5.897870172	4.13971	0.0284121	0	0.21	0.01	0.369	2.364	0	23.1113	22.0885	21.5133	21.106	-99.0	20.9846
W1m4p1_128603	30.72211678	-5.897284453	2.887	0.036532	0	0.73	0.503	1.5	3.818	0	23.3104	23.0512	22.6821	22.1146	-99.0	21.8696
W1m4p1_128615	30.54269537	-5.898295267	4.23354	0.0286305	0	0.26	0.06	0.425	1.909	0	22.9144	21.7527	21.0062	20.5209	-99.0	20.2897
W1m4p1_128621	30.38364243	-5.897156418	3.55068	0.0166019	0	0.66	0.42	0.878	3.636	0	23.855	23.5947	22.957	22.4535	-99.0	22.2995
W1m4p1_128645	30.75168626	-5.897450246	2.79938	0.0875717	0	0.79	0.555	1.72	5.364	0	22.9249	22.6438	22.4966	21.9987	-99.0	21.81
W1m4p1_128668	30.97910634	-5.898094012	6.82217	7.62804E-4	0	0.64	0.34	0.855	3.0	0	24.138	23.4139	22.7615	22.0754	-99.0	21.9045
W1m4p1_128751	30.56663473	-5.897191624	3.92248	0.0292263	0	0.96	0.703	1.34	3.0	0	23.164	22.8119	22.3449	21.591	-99.0	21.0994
W1m4p1_128766	30.52107514	-5.896719844	3.47466	0.0188502	0	0.56	0.31	0.765	3.273	0	24.1448	23.6941	22.9232	22.4816	-99.0	22.2802
W1m4p1_128773	30.37036855	-5.898178397	3.46282	0.0297997	0	0.21	0.051	0.369	1.091	0	23.4159	21.796	20.8274	20.3362	-99.0	20.0809
W1m4p1_128779	30.21638329	-5.896113694	2.46899	0.808011	0	0.21	0.01	0.369	2.273	0	24.0324	22.9538	22.4039	22.0433	-99.0	21.7973
W1m4p1_128790	30.28850483	-5.896448665	3.21334	0.0289583	0	0.5	0.29	0.697	3.182	0	23.0519	22.551	21.7428	21.2875	-99.0	21.1218
W1m4p1_128793	30.56944268	-5.896102864	2.84413	0.0988319	0	0.22	0.06	0.38	1.0	0	25.6999	23.8921	22.9754	22.4304	-99.0	22.2248
W1m4p1_128838	31.05285466	-5.895981664	2.72921	0.119883	0	0.27	0.01	0.49	2.909	0	23.7684	22.9795	22.3566	22.0595	-99.0	21.7563
W1m4p1_128844	31.08138388	-5.896556764	4.1363	0.0267786	0	0.45	0.26	0.64	3.364	0	23.0952	22.6282	21.826	21.4582	-99.0	21.4068
W1m4p1_128869	30.68135656	-5.89582918	2.58616	0.962412	0	0.61	0.37	0.821	3.545	0	23.6822	23.3343	22.6402	22.0437	-99.0	22.1544
W1m4p1_128900	31.02300625	-5.89709164	3.80635	0.0287828	0	0.7	0.477	0.923	1.545	0	23.8423	22.78	21.7572	20.6946	-99.0	20.3099
W1m4p1_128929	31.079337	-5.896493713	4.08378	0.0217646	0	0.9	0.651	1.31	1.364	0	25.1791	24.4138	23.2804	22.0161	-99.0	21.2341
W1m4p1_128943	30.58137015	-5.896570423	3.16259	0.0379673	0	0.19	0.034	0.35	1.091	0	24.1419	22.5385	21.6293	21.1398	-99.0	20.8902
W1m4p1_128977	30.49408113	-5.895533852	4.60786	0.0164377	0	0.61	0.25	0.821	5.364	0	23.0624	22.8888	22.3909	22.0308	-99.0	22.0545
W1m4p1_129027	30.72781589	-5.89491033	2.89635	0.0291633	0	0.23	0.01	0.392	2.818	0	24.1266	23.2501	22.6602	22.3166	-99.0	22.1975
W1m4p1_129046	30.56230005	-5.894908564	2.3466	0.889307	0	0.8	0.564	1.63	3.455	0	23.8771	23.4841	23.1526	22.4864	-99.0	22.1579
W1m4p1_129050	31.09380174	-5.895610278	3.89175	0.0261311	0	0.55	0.31	0.754	3.273	0	23.4935	23.0587	22.2587	21.8174	-99.0	21.6687
W1m4p1_129058	30.75699262	-5.895798586	4.02712	0.0283835	0	0.64	0.39	0.855	3.364	0	22.7709	22.3521	21.6912	21.1077	-99.0	20.9795
