id	ALPHA_J2000	DELTA_J2000	FLUX_RADIUS	CLASS_STAR	fitclass	Z_B	Z_B_MIN	Z_B_MAX	T_B	star_flag	MAG_u	MAG_g	MAG_r	MAG_i	MAG_y	MAG_z
W1m0p3_167223	34.60339144	-3.810739146	4.7377	0.0304387	0	0.69	0.468	0.912	1.455	0	24.0372	23.1201	21.8036	20.7779	-99.0	20.3924
W1m0p3_167437	34.68986726	-3.808667973	4.67964	0.0168313	0	0.65	0.433	0.867	1.364	0	25.3655	24.362	22.8847	21.9718	-99.0	21.599
W1m0p3_167486	34.35938285	-3.807843118	3.15801	0.148587	0	0.63	0.416	0.844	1.091	0	25.6851	23.858	22.5152	21.2841	-99.0	20.9106
W1m0p3_167742	34.77970463	-3.805820393	2.9529	0.0715843	0	0.68	0.459	0.901	1.455	0	25.7947	24.7127	23.5058	22.4756	-99.0	22.0672
W1m0p3_167783	34.57814316	-3.80580785	3.85691	0.0192863	0	0.96	0.703	1.217	1.0	0	99.0	26.0346	23.6537	22.3994	-99.0	21.391
W1m0p3_167869	34.63896665	-3.806052888	4.28353	0.0216627	0	0.52	0.32	0.72	1.0	0	27.7993	24.3656	23.0196	22.0383	-99.0	21.6462
W1m0p3_167936	34.16734743	-3.804833983	3.20278	0.0346132	0	0.76	0.529	0.991	1.364	0	25.977	24.8247	23.9293	22.4931	-99.0	22.0617
W1m0p3_167949	34.28487476	-3.805364337	3.00033	0.295013	0	0.75	0.52	0.98	1.273	0	24.4598	23.4413	22.1223	20.8669	-99.0	20.4455
W1m0p3_168234	34.35119698	-3.803833996	3.61306	0.0529399	0	0.85	0.607	1.093	1.091	0	26.0545	24.8283	23.2732	22.0337	-99.0	21.2192
W1m0p3_168238	34.87548166	-3.80346975	2.76825	0.63232	0	0.33	0.155	0.505	1.273	0	25.3879	23.9115	22.6665	22.127	-99.0	21.8965
W1m0p3_168861	34.85077781	-3.800112514	3.84143	0.0222046	0	0.86	0.616	1.23	1.182	0	25.8437	24.8672	23.5021	22.1381	-99.0	21.4379
W1m0p3_168909	34.18897754	-3.799959252	3.77764	0.0167944	0	0.77	0.538	1.002	1.0	0	99.0	25.703	24.1185	22.4985	-99.0	21.6117
W1m0p3_168913	34.85416452	-3.800177279	3.40094	0.0823962	0	0.86	0.616	1.104	1.091	0	26.5158	25.2686	23.4173	22.1386	-99.0	21.3815
W1m0p3_168948	34.4719486	-3.800046234	4.71327	0.0242879	0	0.52	0.32	0.72	1.0	0	99.0	24.4599	23.0925	22.1824	-99.0	21.6091
W1m0p3_169094	34.17510534	-3.799997999	4.18806	0.0285107	0	0.76	0.529	0.991	1.0	0	99.0	24.4818	22.7645	21.2046	-99.0	20.5758
W1m0p3_169183	34.20538469	-3.798759225	3.32524	0.0334328	0	0.52	0.32	0.72	1.0	0	26.5341	23.6776	22.294	21.2466	-99.0	20.9492
W1m0p3_169347	34.41433595	-3.797723842	3.13266	0.0670624	0	0.31	0.138	0.49	1.182	0	24.6734	23.11	21.9735	21.3898	-99.0	21.0812
W1m0p3_169449	34.7533085	-3.796782792	3.25267	0.031638	0	0.73	0.503	0.957	1.364	0	25.9638	24.7534	23.5985	22.4816	-99.0	21.8883
W1m0p3_169746	34.81024819	-3.79553059	3.577	0.0248426	0	0.72	0.494	0.946	1.273	0	25.5863	24.4001	23.2267	21.9914	-99.0	21.5716
W1m0p3_169975	34.22759299	-3.793443898	2.94736	0.073637	0	0.65	0.433	0.867	1.364	0	25.8392	24.8516	23.4323	22.4573	-99.0	22.1567
W1m0p3_170118	34.43674046	-3.793552572	3.77877	0.0377166	0	0.77	0.538	1.002	1.182	0	25.3478	24.2597	22.7616	21.4165	-99.0	20.9956
W1m0p3_170325	34.41331064	-3.793130663	4.12133	0.0288897	0	0.3	0.129	0.471	1.091	0	23.9112	22.2204	20.945	20.3517	-99.0	20.1564
W1m0p3_170558	34.89870788	-3.790938597	4.74533	0.0113566	0	0.75	0.52	0.98	1.0	0	99.0	25.4855	23.8191	22.2061	-99.0	21.7186
